"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@CoreyStewartVA Ignorant of real history, which is not taught in schools anymore, THEY JUST DONT GET GET IT.
Time t… https://t.co/pELF8JKbRo",FALSE,0,"CoreyStewartVA",2018-06-03 23:58:47,TRUE,"1002551674332991493","1003425795992322048","259045004","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThPaine_1737",0,FALSE,FALSE,NA,NA
"2","@Wwolfhunt @CoreyStewartVA And that your liberal Buddies who want me dead and hate Christians just got ordered to p… https://t.co/TQSjX4zhOl",FALSE,0,"Wwolfhunt",2018-06-03 23:46:57,TRUE,"1003420788857372672","1003422821366853632","2916526209","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eugenedelgaudio",0,FALSE,FALSE,NA,NA
"3","@Wwolfhunt @CoreyStewartVA U just mad that many Congressional and Senate races will be impacted positively by Publi… https://t.co/kjvI0UmgJb",FALSE,0,"Wwolfhunt",2018-06-03 23:43:54,TRUE,"1003420788857372672","1003422053922492416","2916526209","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eugenedelgaudio",0,FALSE,FALSE,NA,NA
"4","@eugenedelgaudio @CoreyStewartVA Nobody’s triggered, we just think you sound like fool! But that’s not a great surp… https://t.co/AG5qlYkGDm",FALSE,0,"eugenedelgaudio",2018-06-03 23:38:53,TRUE,"1003409586811035653","1003420788857372672","80734453","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Wwolfhunt",0,FALSE,FALSE,NA,NA
"5","@DatAtanassov @CoreyStewartVA It’s Sunday the Lord’s day and he expects you to spend that day tweeting less",FALSE,0,"DatAtanassov",2018-06-03 23:33:19,FALSE,"1003414004017041408","1003419387691503616","4113225623","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eugenedelgaudio",0,FALSE,FALSE,NA,NA
"6","@Hoosier84 @jim_beau_mtb @CoreyStewartVA Building on floodplains is prohibited in most major areas of the United St… https://t.co/KVbNEaV8TB",FALSE,0,"Hoosier84",2018-06-03 23:32:22,TRUE,"1003412521116684288","1003419149048180743","45151571","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eugenedelgaudio",0,FALSE,FALSE,NA,NA
"7","@eugenedelgaudio @CoreyStewartVA I’m really proud of you for finding a way to make this work for you, but I’m less… https://t.co/xMmZLdwoRT",FALSE,0,"eugenedelgaudio",2018-06-03 23:11:55,TRUE,"1003412688461029381","1003414004017041408","80734453","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DatAtanassov",0,FALSE,FALSE,NA,NA
"8","Actual snarky sarcastic liberal with 250 follows claims if @CoreyStewartVA is close to God he wants to burn every c… https://t.co/6tltUSqoWp",FALSE,0,NA,2018-06-03 23:06:42,TRUE,NA,"1003412688461029381",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eugenedelgaudio",1,FALSE,FALSE,NA,NA
"9","@CoreyStewartVA Every Republican running for office like you should not be elected.",FALSE,3,"CoreyStewartVA",2018-06-03 23:06:29,FALSE,"1003302412365463553","1003412633805090816","259045004","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Deborah00796667",0,FALSE,FALSE,NA,NA
"10","@eugenedelgaudio @jim_beau_mtb @CoreyStewartVA Ah, so you're arguing the GOP is the regulatory party we should choo… https://t.co/zmCWVpDGzg",FALSE,0,"eugenedelgaudio",2018-06-03 23:06:02,TRUE,"1003388153414279169","1003412521116684288","80734453","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Hoosier84",0,FALSE,FALSE,NA,NA
"11","@jim_beau_mtb @FCDallasMom2 @CoreyStewartVA Behold another #conservative #Christian spreading the love of #Jesus. T… https://t.co/oZurCMKVJG",FALSE,0,"jim_beau_mtb",2018-06-03 23:01:16,TRUE,"1003335073037418497","1003411324091752448","2781915652","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LeMlleNobs",0,FALSE,FALSE,NA,NA
"12","@CoreyStewartVA Twitter and whiskey are a dangerous combination.",FALSE,4,"CoreyStewartVA",2018-06-03 22:56:46,FALSE,"1003302412365463553","1003410188773101568","259045004","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sconnell1791",1,FALSE,FALSE,NA,NA
"13","@CoreyStewartVA #ConfederateCorey bringing #fear, #hate, and #ignorance to a Senate primary near you this summer! #VASen",FALSE,2,"CoreyStewartVA",2018-06-03 22:56:05,FALSE,"1003302412365463553","1003410017075322881","259045004","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LeMlleNobs",0,FALSE,FALSE,NA,NA
"14","RT @eugenedelgaudio: @DatAtanassov @CoreyStewartVA Actually I bear direct witness to fact rain stopped immediately when @CoreyStewartVA sai…",FALSE,0,NA,2018-06-03 22:55:22,FALSE,NA,"1003409837819088897",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eugenedelgaudio",1,TRUE,FALSE,NA,NA
"15","@Wwolfhunt @CoreyStewartVA Corey happily mentioned the rain and it stopped immediately and I think it’s fun and hil… https://t.co/YXO88p5kw3",FALSE,0,"Wwolfhunt",2018-06-03 22:54:22,TRUE,"1003406747925655554","1003409586811035653","2916526209","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eugenedelgaudio",0,FALSE,FALSE,NA,NA
"16","RT @CoreyStewartVA: I met an awesome supporter at our Rally to Defeat MS-13 in Fairfax! A Caps fan too! Go Caps!!

#ALLCAPS

#VASen https:/…",FALSE,0,NA,2018-06-03 22:51:34,FALSE,NA,"1003408880276267008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HDowning113",33,TRUE,FALSE,NA,NA
"17","RT @DavidIRamadan: So Corey, you’re calling for imprisonment of politicians for a policy decision they made?

Have you lost it so far that…",FALSE,0,NA,2018-06-03 22:51:24,FALSE,NA,"1003408838698004480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TaiwanSunshine1",37,TRUE,FALSE,NA,NA
"18","@eugenedelgaudio @CoreyStewartVA So this clown Eugene actually thinks the Corey Stewart has an effect on climate! H… https://t.co/2wCVFkXdJB",FALSE,0,"eugenedelgaudio",2018-06-03 22:43:05,TRUE,"1003389619910606848","1003406747925655554","80734453","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Wwolfhunt",0,FALSE,FALSE,NA,NA
"19","Or, let’s find a small island for you @CoreyStewartVA I’ve been off of twitter for awhile but I see you’re still up… https://t.co/Ce6sOX9O0L",FALSE,0,NA,2018-06-03 22:39:25,TRUE,NA,"1003405822578307072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BreRVA",0,FALSE,FALSE,NA,NA
"20","@CoreyStewartVA This makes no sense, man.",FALSE,4,"CoreyStewartVA",2018-06-03 22:37:13,FALSE,"1003302412365463553","1003405270788247552","259045004","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ItsChad",0,FALSE,FALSE,NA,NA
