"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Close to 70% of the precincts have reported in and Nick Freitas still has the lead over Corey Stewart and E.W. Jackson for the #VAPrimary",FALSE,0,NA,2018-06-12 23:59:59,FALSE,NA,"1006687588684652544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","desmontilla",0,FALSE,FALSE,NA,NA
"2","RT @HoarseWisperer: Remember this clown?

Corey Stewart is a Virginia Republican who made headlines by going all in on “Damn northerners!”…",FALSE,0,NA,2018-06-12 23:59:54,FALSE,NA,"1006687569193517056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jag7337",252,TRUE,FALSE,NA,NA
"3","RT @JackPosobiec: #VASen

11.44% reporting

Nick J. Freitas - 12,606 - 45.16%

Corey A. Stewart - 12,053 - 43.18%

E. W. Jackson - 3,257 -…",FALSE,0,NA,2018-06-12 23:59:44,FALSE,NA,"1006687528664039425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mastrolyn",64,TRUE,FALSE,NA,NA
"4","RT @CR: LIVE VIRGINIA SENATE PRIMARY RESULTS: Nick Freitas vs. Corey Stewart 
#VASen 
https://t.co/Rwpd1alwSo",FALSE,0,NA,2018-06-12 23:59:34,FALSE,NA,"1006687486079262720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","socalmike_SD",18,TRUE,FALSE,NA,NA
"5","RT @HoarseWisperer: Remember this clown?

Corey Stewart is a Virginia Republican who made headlines by going all in on “Damn northerners!”…",FALSE,0,NA,2018-06-12 23:59:29,FALSE,NA,"1006687464407420930",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ardwen2",252,TRUE,FALSE,NA,NA
"6","RT @consmover: Virginia Republican US Senate 
57% reporting 

Nick Freitas 45% 
Corey Stewart 42%
E.W. Jackson 12%

#MAGA #2A",FALSE,0,NA,2018-06-12 23:59:21,FALSE,NA,"1006687430429179904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChrisBragdon",59,TRUE,FALSE,NA,NA
"7","RT @HoarseWisperer: Remember this clown?

Corey Stewart is a Virginia Republican who made headlines by going all in on “Damn northerners!”…",FALSE,0,NA,2018-06-12 23:59:05,FALSE,NA,"1006687361604845569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BaumanKym",252,TRUE,FALSE,NA,NA
"8","RT @consmover: Virginia Republican US Senate 
57% reporting 

Nick Freitas 45% 
Corey Stewart 42%
E.W. Jackson 12%

#MAGA #2A",FALSE,0,NA,2018-06-12 23:58:49,FALSE,NA,"1006687297696231425",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Iridium24",59,TRUE,FALSE,NA,NA
"9","RT @TT45Pac: PRIMARY ELECTION RESULTS:
Virginia looks like a close race
Republican Primary
CANDIDATE VOTE PCT.
Nick Freitas 72,237 45.2%
Co…",FALSE,0,NA,2018-06-12 23:58:42,FALSE,NA,"1006687266893389826",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pbsrker",36,TRUE,FALSE,NA,NA
"10","RT @consmover: Virginia Republican US Senate 
57% reporting 

Nick Freitas 45% 
Corey Stewart 42%
E.W. Jackson 12%

#MAGA #2A",FALSE,0,NA,2018-06-12 23:58:34,FALSE,NA,"1006687234169430017",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alozras411",59,TRUE,FALSE,NA,NA
"11","RT @consmover: Virginia Republican US Senate 
11% reporting 

Nick Freitas 45.1% 
Corey Stewart 43.1%
E.W. Jackson 11.6%

#MAGA #2A",FALSE,0,NA,2018-06-12 23:58:25,FALSE,NA,"1006687194919075840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jeremygibson54",50,TRUE,FALSE,NA,NA
"12","RT @TT45Pac: PRIMARY ELECTION RESULTS:
Virginia looks like a close race
Republican Primary
CANDIDATE VOTE PCT.
Nick Freitas 72,237 45.2%
Co…",FALSE,0,NA,2018-06-12 23:58:14,FALSE,NA,"1006687148253147136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","norvilgirl",36,TRUE,FALSE,NA,NA
"13","RT @consmover: Virginia Republican US Senate 
11% reporting 

Nick Freitas 45.1% 
Corey Stewart 43.1%
E.W. Jackson 11.6%

#MAGA #2A",FALSE,0,NA,2018-06-12 23:58:12,FALSE,NA,"1006687140288303110",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alozras411",50,TRUE,FALSE,NA,NA
"14","Updated results in:
Nick Freitas 88,421 45.0% 
Corey Stewart 84,973 43.3% 
E.W. Jackson 22,987 11.7% 

69% reporting (nice)",FALSE,4,"NotEricWagner",2018-06-12 23:58:08,FALSE,"1006682652966039553","1006687123855077376","762262602487652352","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NotEricWagner",1,FALSE,FALSE,NA,NA
"15","RT @WDBJ7: Virginia Republican US Senate 
63% reporting 

Nick Freitas 45% (82,297)
Corey Stewart 42% (75,972)
E.W. Jackson 12% (21,758)",FALSE,0,NA,2018-06-12 23:57:55,FALSE,NA,"1006687070734176256",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","JohannaVa84",1,TRUE,FALSE,NA,NA
"16","RT @HoarseWisperer: Remember this clown?

Corey Stewart is a Virginia Republican who made headlines by going all in on “Damn northerners!”…",FALSE,0,NA,2018-06-12 23:57:48,FALSE,NA,"1006687039163719680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","musicrowmaniac",252,TRUE,FALSE,NA,NA
