Description,Date,F.18-24,F.25-34,F.35-44,F.45-54,F.55-64,F.65+,M.13-17,M.18-24,M.25-34,M.35-44,M.45-54,M.55-64,M.65+,U.18-24,U.25-34,U.45-54,U.55-64,U.65+
Weekly: Total Page Reach by age and gender. (Unique Users),6/1/18,,,,,,,,,,,,,,,,,,
,6/2/18,,,,,,,,,,,,,,,,,,
,6/3/18,,,,,,,,,,,,,,,,,,
,6/4/18,,,,,,,,,,,,,,,,,,
,6/5/18,,,,,,,,,,,,,,,,,,
,6/6/18,1,3,4,5,4,2,1,8,7,3,2,2,2,,,,,
,6/7/18,1,2,7,4,6,1,1,8,7,3,2,2,2,,,,,
,6/8/18,1,1,9,4,8,1,1,9,7,5,2,2,,,,,,1
,6/9/18,2,1,10,4,10,3,1,11,8,5,2,2,1,,,,,1
,6/10/18,2,1,10,4,9,3,1,12,9,5,2,3,1,,,,,1
,6/11/18,2,1,10,4,11,4,1,13,10,6,2,4,2,,,,,1
,6/12/18,2,3,12,7,13,6,1,14,15,7,5,6,2,,,,,1
,6/13/18,3,3,13,6,14,6,1,14,16,9,5,6,3,,,,,1
,6/14/18,3,3,9,6,12,6,1,14,16,9,6,7,3,,,,,1
,6/15/18,5,3,8,10,14,6,1,13,20,11,10,10,6,,,,,1
,6/16/18,4,2,8,11,14,7,1,9,17,9,11,10,6,,,,,1
,6/17/18,5,2,9,11,15,7,1,9,16,9,12,10,7,,,,,1
,6/18/18,6,2,8,13,13,8,1,9,15,8,12,9,6,,,,,1
,6/19/18,5,,6,11,13,6,1,8,10,7,9,7,6,,,,,1
,6/20/18,11,28,47,79,78,74,1,49,79,91,126,132,85,1,1,3,3,4
