"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Stump_for_Trump: Today is the beginning of the end for Senator @timkaine. Vote for @NickForVA and let‚Äôs take back Virginia!

Polls are‚Ä¶",FALSE,0,NA,2018-06-12 23:59:59,FALSE,NA,"1006687588583960581",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","MoPopskull",303,TRUE,FALSE,NA,NA
"2","In the Republican primary to determine who will challenge Senator @timkaine , @NickForVA is beating @CoreyStewartVA‚Ä¶ https://t.co/MbRREgf7TI",FALSE,0,NA,2018-06-12 23:58:35,TRUE,NA,"1006687238347018241",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JBSpeaksOut",0,FALSE,FALSE,NA,NA
"3","@HoarseWisperer @NickForVA I kind of wanted to see @timkaine mop the floor with the Cor-ster but he'll do just as well against Nick.",FALSE,7,"_jenniferknecht",2018-06-12 23:57:54,FALSE,"1006686764927418374","1006687063805169664","3234383490","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_jenniferknecht",0,FALSE,FALSE,NA,NA
"4","I‚Äôm counting on @GWeinschenk to get @timkaine re-elected. https://t.co/4zlCRxKhV2",FALSE,1,NA,2018-06-12 23:55:30,FALSE,NA,"1006686462635642880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JustinGunderman",0,FALSE,FALSE,NA,NA
"5","RT @judithnwana: At the Capitol today on advocacy day for the @UNAUSA 2018 Leadership Summit. Let‚Äôs stop the #Cameroon #SouthernCameroons c‚Ä¶",FALSE,0,NA,2018-06-12 23:55:22,FALSE,NA,"1006686426690355200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Aleehvictoria",49,TRUE,FALSE,NA,NA
"6","RT @denisesaturn: This Ohio Veteran is all in for @HillaryClinton &amp; @timkaine !Ì†ºÌ∑∫Ì†ºÌ∑∏ #imWithHer #UniteBlue #OHHillYes #HRC https://t.co/w5MEoB‚Ä¶",FALSE,0,NA,2018-06-12 23:54:27,FALSE,NA,"1006686198901792768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dmontano030",196,TRUE,FALSE,NA,NA
"7","RT @NickForVA: It is imperative that we defeat @TimKaine this November - I am the only candidate that can do so.

Polls are open 6:00 am -‚Ä¶",FALSE,0,NA,2018-06-12 23:54:26,FALSE,NA,"1006686192203517952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jackzblasted",374,TRUE,FALSE,NA,NA
"8","@VCHoos @Breaking911 @timkaine @NickForVA @CoreyStewartVA @ewjacksonsr Maybe next time lol",FALSE,0,"VCHoos",2018-06-12 23:52:47,FALSE,"1006679996654608385","1006685776699064320","87247166","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChrisDamien91",0,FALSE,FALSE,NA,NA
"9","RT @Stump_for_Trump: Today is the beginning of the end for Senator @timkaine. Vote for @NickForVA and let‚Äôs take back Virginia!

Polls are‚Ä¶",FALSE,0,NA,2018-06-12 23:51:51,FALSE,NA,"1006685544921817088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PotvinRp",303,TRUE,FALSE,NA,NA
"10","RT @Stump_for_Trump: Today is the beginning of the end for Senator @timkaine. Vote for @NickForVA and let‚Äôs take back Virginia!

Polls are‚Ä¶",FALSE,0,NA,2018-06-12 23:51:09,FALSE,NA,"1006685368035545088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bonniebeme",303,TRUE,FALSE,NA,NA
"11","RT @ChrisDamien91: @Breaking911 #VASen #Election2018 @timkaine @NickForVA @CoreyStewartVA Next VA Senator is...",FALSE,0,NA,2018-06-12 23:50:48,FALSE,NA,"1006685280781336576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SusanCTurlingt1",4,TRUE,FALSE,NA,NA
"12","RT @judithnwana: At the Capitol today on advocacy day for the @UNAUSA 2018 Leadership Summit. Let‚Äôs stop the #Cameroon #SouthernCameroons c‚Ä¶",FALSE,0,NA,2018-06-12 23:47:51,FALSE,NA,"1006684535822700544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","silas_atefor",49,TRUE,FALSE,NA,NA
"13","RT @Stump_for_Trump: Today is the beginning of the end for Senator @timkaine. Vote for @NickForVA and let‚Äôs take back Virginia!

Polls are‚Ä¶",FALSE,0,NA,2018-06-12 23:45:12,FALSE,NA,"1006683869117067265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mybross75",303,TRUE,FALSE,NA,NA
"14","@lowkell @GayleneKan @PriceForDel95 That‚Äôs right Rs vote for EW Jackson so he can be the one to get crushed by @timkaine #PrimaryDay",FALSE,0,"lowkell",2018-06-12 23:44:33,FALSE,NA,"1006683707590283264","16186916","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LVBurke",0,FALSE,FALSE,NA,NA
"15","RT @timkaine: Too real. https://t.co/A8fjFNJ2Oh",FALSE,0,NA,2018-06-12 23:43:40,FALSE,NA,"1006683482481819649",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SharrySprague",14569,TRUE,FALSE,NA,NA
"16","RT @CoreyStewartVA: I am running for U.S. Senate to defeat @timkaine - Join the movement. https://t.co/HXPdTRFsHM #DefeatKaine",FALSE,0,NA,2018-06-12 23:42:14,FALSE,NA,"1006683123684274177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dave_t81",5925,TRUE,FALSE,NA,NA
"17","@BlaineStewart @ewjacksonsr @timkaine Va Beach numbers are messed up.",FALSE,1,"BlaineStewart",2018-06-12 23:41:44,FALSE,"1006682903303131136","1006682996508909569","23455765","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brendanponton",0,FALSE,FALSE,NA,NA
"18","@DavidWright_CNN He still won‚Äôt beat @timkaine Ì†ΩÌ∏é",FALSE,0,"DavidWright_CNN",2018-06-12 23:41:13,FALSE,"1006681470482690049","1006682867219488769","293314112","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cindycrum",0,FALSE,FALSE,NA,NA
"19","@CarpeDavum4 @timkaine Then adopt a damn migrant family and support them...which part of ILLEGAL don't you get? #MAGA",FALSE,0,"CarpeDavum4",2018-06-12 23:40:08,FALSE,"1004879174128013313","1006682595046887425","884614607981215744","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ania_Travels",0,FALSE,FALSE,NA,NA
"20","RT @Stump_for_Trump: Today is the beginning of the end for Senator @timkaine. Vote for @NickForVA and let‚Äôs take back Virginia!

Polls are‚Ä¶",FALSE,0,NA,2018-06-12 23:40:06,FALSE,NA,"1006682587056803842",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","speakupsal",303,TRUE,FALSE,NA,NA
"21","RT @NickForVA: It is imperative that we defeat @TimKaine this November - I am the only candidate that can do so.

Polls are open 6:00 am -‚Ä¶",FALSE,0,NA,2018-06-12 23:39:56,FALSE,NA,"1006682543415054336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","T4TXT4Trump2020",374,TRUE,FALSE,NA,NA
"22","RT @Stump_for_Trump: Today is the beginning of the end for Senator @timkaine. Vote for @NickForVA and let‚Äôs take back Virginia!

Polls are‚Ä¶",FALSE,0,NA,2018-06-12 23:39:48,FALSE,NA,"1006682510665936896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vogl_tina",303,TRUE,FALSE,NA,NA
"23","RT @NickForVA: It is imperative that we defeat @TimKaine this November - I am the only candidate that can do so.

Polls are open 6:00 am -‚Ä¶",FALSE,0,NA,2018-06-12 23:39:43,FALSE,NA,"1006682488893304835",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Patwate",374,TRUE,FALSE,NA,NA
"24","@timkaine Take them in but don't expect them to be raised with our tax dollars.",FALSE,0,"timkaine",2018-06-12 23:39:15,FALSE,"1004843190611075072","1006682371834380290","172858784","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ania_Travels",0,FALSE,FALSE,NA,NA
"25","RT @Stump_for_Trump: Today is the beginning of the end for Senator @timkaine. Vote for @NickForVA and let‚Äôs take back Virginia!

Polls are‚Ä¶",FALSE,0,NA,2018-06-12 23:38:01,FALSE,NA,"1006682063498633216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","misstozak",303,TRUE,FALSE,NA,NA
"26","RT @judithnwana: Bible Translator Killed, houses burned down, huge disruption to Bible Projects in #Cameroon #SouthernCameroons Crisis @Rep‚Ä¶",FALSE,0,NA,2018-06-12 23:37:45,FALSE,NA,"1006681995643105280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrNdemazie",20,TRUE,FALSE,NA,NA
"27","@timkaine IMPEACH DTRUMP AND CRONIES. DUMP THE CORRUPT REPUBLICONS FOR AMERICA'S SAKE. REPEAL CON REPUBLICONS FOR A‚Ä¶ https://t.co/EDr4vIv4cf",FALSE,0,"timkaine",2018-06-12 23:37:06,TRUE,"986009761945735170","1006681830622257152","172858784","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JERDKING123456",0,FALSE,FALSE,NA,NA
"28","RT @CoreyStewartVA: I am running for U.S. Senate to defeat @timkaine - Join the movement. https://t.co/HXPdTRFsHM #DefeatKaine",FALSE,0,NA,2018-06-12 23:36:47,FALSE,NA,"1006681751589027840",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","grannygethealth",5925,TRUE,FALSE,NA,NA
"29","RT @Stump_for_Trump: Today is the beginning of the end for Senator @timkaine. Vote for @NickForVA and let‚Äôs take back Virginia!

Polls are‚Ä¶",FALSE,0,NA,2018-06-12 23:35:14,FALSE,NA,"1006681363397914624",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","attitudeforty5",303,TRUE,FALSE,NA,NA
"30","RT @slatehill: Ì†ΩÌ∏†Election day rant: ignoring small rural districts has major implications. After 6pm I was 77th voter through door.  I'm in‚Ä¶",FALSE,0,NA,2018-06-12 23:34:10,FALSE,NA,"1006681092500414464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carlyinNJ",2,TRUE,FALSE,NA,NA
"31","RT @Stump_for_Trump: .@NickForVA is a rising star in the Republican Party. He‚Äôs a former Green Beret, has an A rating from the NRA, wants m‚Ä¶",FALSE,0,NA,2018-06-12 23:33:33,FALSE,NA,"1006680939928399875",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarbChelette",1589,TRUE,FALSE,NA,NA
"32","RT @Stump_for_Trump: Today is the beginning of the end for Senator @timkaine. Vote for @NickForVA and let‚Äôs take back Virginia!

Polls are‚Ä¶",FALSE,0,NA,2018-06-12 23:32:03,FALSE,NA,"1006680560574623744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","howienudet",303,TRUE,FALSE,NA,NA
"33","RT @ChrisDamien91: @Breaking911 #VASen #Election2018 @timkaine @NickForVA @CoreyStewartVA Next VA Senator is...",FALSE,0,NA,2018-06-12 23:30:34,FALSE,NA,"1006680186115457024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stuboss09",4,TRUE,FALSE,NA,NA
"34","@Breaking911 #VASen #Election2018 @timkaine @NickForVA @CoreyStewartVA Next VA Senator is...",FALSE,3,"Breaking911",2018-06-12 23:28:10,FALSE,"1006677577120059392","1006679582349590533","375721095","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChrisDamien91",4,FALSE,FALSE,NA,NA
"35","RT @CapehartJ: Trump admin says its foreign policy is ""We're America, bitch."" @timkaine told me what it really is. 

""He says, 'America fir‚Ä¶",FALSE,0,NA,2018-06-12 23:27:36,FALSE,NA,"1006679441781809152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WalczakLinda9",39,TRUE,FALSE,NA,NA
