"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"267","Huge support Saturday at our ""Rally to Support President Trump's Agenda"" in Loudoun! 

Vote June 12th to defeat radâ€¦ https://t.co/OA98PelqOd",FALSE,96,NA,2018-05-27 14:04:28,TRUE,NA,"1000739517760987136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CoreyStewartVA",51,FALSE,FALSE,NA,NA
"200","Here's Some TRUE conservatives I love  í ¼í·ºí ¼í·¸

.@tedcruz 
.@senatormcdaniel 
.@Nick4House 
.@NickForVA 

ALL are willinâ€¦ https://t.co/71PpH8uH4O",FALSE,88,NA,2018-05-30 18:39:29,TRUE,NA,"1001895890301476864",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","deeg25",69,FALSE,FALSE,NA,NA
"13","I met an awesome supporter at our Rally to Defeat MS-13 in Fairfax! A Caps fan too! Go Caps!!

#ALLCAPS

#VASen https://t.co/IV8NPB1zVK",FALSE,79,NA,2018-06-02 22:04:44,FALSE,NA,"1003034705845989376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CoreyStewartVA",33,FALSE,FALSE,NA,NA
"80","This is what happens when you elect Republicans who donâ€™t have a backbone, who donâ€™t stand up for anything. Most ofâ€¦ https://t.co/Cg2POnRCG1",FALSE,59,NA,2018-06-01 14:13:44,TRUE,NA,"1002553788228612096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CoreyStewartVA",27,FALSE,FALSE,NA,NA
"63","The Virginia team recruits over 100 new COS supporters! https://t.co/fdojaBf6ps #vasen #valeg #virginia #vapol",FALSE,39,NA,2018-06-01 16:41:22,FALSE,NA,"1002590944074584064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","COSProject",21,FALSE,FALSE,NA,NA
"126",".@NickForVA knows how we can provide the necessary narrative we need to push for and get free-market healthcare betâ€¦ https://t.co/djyW6m3IST",FALSE,34,NA,2018-05-31 13:00:31,TRUE,NA,"1002172975720755200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","michael__1776",26,FALSE,FALSE,NA,NA
"82","Just another indication of political correctness gone rampant. We cannot let the radical left erase our history.â€¦ https://t.co/HzkVZT9h7L",FALSE,29,NA,2018-06-01 14:05:20,TRUE,NA,"1002551674332991493",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CoreyStewartVA",11,FALSE,FALSE,NA,NA
"210",".@timkaine lies on Twitter, gets fact checked into oblivion by @washingtonpost. A tale as old as time. #VASen https://t.co/GqEUbPyahl",FALSE,24,NA,2018-05-30 17:23:33,FALSE,NA,"1001876781815779337",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VA_GOP",20,FALSE,FALSE,NA,NA
"69","On the anniversary of Trumpâ€™s decision to withdraw from the #ParisAgreement, LCVAF is thrilled to endorseâ€¦ https://t.co/7qXRNwEIuc",FALSE,5,NA,2018-06-01 15:15:53,TRUE,NA,"1002569431514603520",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","LCVoters",2,FALSE,FALSE,NA,NA
"150","Del. @NickForVA up now with his last chance to grandstand and build up support for his U.S. Senate run before the Jâ€¦ https://t.co/iIUmKp1ZGS",FALSE,4,NA,2018-05-30 23:58:28,TRUE,NA,"1001976164200734720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","frankoanderson",3,FALSE,FALSE,NA,NA
"213","E.W. Jackson ad: ""I am not an African American, I'm an American!"" #VASEN https://t.co/1LWRZv5LAo https://t.co/yU3tTMitGV",FALSE,4,NA,2018-05-30 16:43:47,FALSE,NA,"1001866773677985792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DKElections",3,FALSE,FALSE,NA,NA
"231",".@MarkObenshain @SenRichardBlack @ryanmcdougle @TommyNorment Please pass a clean budget with NO Medicaid expansion!â€¦ https://t.co/4GICXmnt6T",FALSE,4,NA,2018-05-29 04:07:17,TRUE,NA,"1001314008073465856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","patriotmom61",3,FALSE,FALSE,NA,NA
"17","Bold move for @CoreyStewartVA to be attending a pro MS-13 just days ahead of the #VASen GOP primary. https://t.co/HE5UwitVMA",FALSE,4,NA,2018-06-02 19:01:32,FALSE,NA,"1002988602341625856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ericwilson",0,FALSE,FALSE,NA,NA
"119","On Medicaid expansion...

@CoreyStewartVA: I want ""a full repeal of Medicaid.""

@NickForVA: We've ""created additionâ€¦ https://t.co/Q1DOUUILBU",FALSE,3,NA,2018-05-31 14:46:30,TRUE,NA,"1002199645123239943",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IanSams",4,FALSE,FALSE,NA,NA
"204","Let's talk about @LeslieCockburn then, shall we? Has @Timkaine read her book? #va05 #vasen https://t.co/4MopYlf9Yw",FALSE,3,NA,2018-05-30 18:05:20,FALSE,NA,"1001887299196669953",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GarrenShipley",1,FALSE,FALSE,NA,NA
"36","US unemployment hits an 18-year low despite trade concerns: #TaxCutsAndJobsAct #EconomicGrowth #Jobs #Utah #UTsenâ€¦ https://t.co/OnUx7D9Bbz",FALSE,2,NA,2018-06-02 07:59:46,TRUE,NA,"1002822067023118336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Croatansound",2,FALSE,FALSE,NA,NA
"49","I heard @NickForVA on @LarryOConnor today! Heâ€™s the real deal and just the guy we need in the Senate. I voted absenâ€¦ https://t.co/jXHu8AvoaQ",FALSE,2,NA,2018-06-01 22:25:44,TRUE,NA,"1002677602979581957",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheMrsPorch",2,FALSE,FALSE,NA,NA
"236","""I voted against your tax cut and to shut down the government! You're welcome!"" #vasen https://t.co/wrSSw7350S",FALSE,2,NA,2018-05-28 16:09:17,FALSE,NA,"1001133315804553217",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GarrenShipley",0,FALSE,FALSE,NA,NA
"38","The Virginia team recruits over 100 new COS supporters! https://t.co/D7AvYvYfCF #vasen #valeg #virginia #vapol",FALSE,1,NA,2018-06-02 07:02:14,FALSE,NA,"1002807586272546816",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Conservatexian",1,FALSE,FALSE,NA,NA
"64","How low does unemployment have to fall, and how high do wages have to rise, before Democrats simply admit they wereâ€¦ https://t.co/ZZ6mHUyqDF",FALSE,1,NA,2018-06-01 16:01:42,TRUE,NA,"1002580958485336065",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GarrenShipley",1,FALSE,FALSE,NA,NA
"83","What kind of candidate will voters choose to be the #GOP nominee taking on Senator @timkaine this November? Votersâ€¦ https://t.co/ppvhqWH8G4",FALSE,1,NA,2018-06-01 13:53:20,TRUE,NA,"1002548655407104000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MichaelLeePope",1,FALSE,FALSE,NA,NA
"224","Outstanding campaign ad by @NickForVA.

#LibertyRising 
#VASen 
https://t.co/KKURfza3AW",FALSE,1,NA,2018-05-29 15:59:04,FALSE,NA,"1001493135241895936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","michael__1776",0,FALSE,FALSE,NA,NA
"86","RT @deeg25: Here's Some TRUE conservatives I love  í ¼í·ºí ¼í·¸

.@tedcruz 
.@senatormcdaniel 
.@Nick4House 
.@NickForVA 

ALL are willing to fight fâ€¦",FALSE,0,NA,2018-06-01 05:33:50,FALSE,NA,"1002422950266408963",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","naynayfig",69,TRUE,FALSE,NA,NA
"88","RT @deeg25: Here's Some TRUE conservatives I love  í ¼í·ºí ¼í·¸

.@tedcruz 
.@senatormcdaniel 
.@Nick4House 
.@NickForVA 

ALL are willing to fight fâ€¦",FALSE,0,NA,2018-06-01 05:21:26,FALSE,NA,"1002419830698528773",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pickles0201",69,TRUE,FALSE,NA,NA
"90","RT @deeg25: Here's Some TRUE conservatives I love  í ¼í·ºí ¼í·¸

.@tedcruz 
.@senatormcdaniel 
.@Nick4House 
.@NickForVA 

ALL are willing to fight fâ€¦",FALSE,0,NA,2018-06-01 00:27:02,FALSE,NA,"1002345742898360320",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","fitzie63",69,TRUE,FALSE,NA,NA
"91","RT @deeg25: Here's Some TRUE conservatives I love  í ¼í·ºí ¼í·¸

.@tedcruz 
.@senatormcdaniel 
.@Nick4House 
.@NickForVA 

ALL are willing to fight fâ€¦",FALSE,0,NA,2018-06-01 00:21:57,FALSE,NA,"1002344465858584576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bamagirlfriends",69,TRUE,FALSE,NA,NA
"95","RT @deeg25: Here's Some TRUE conservatives I love  í ¼í·ºí ¼í·¸

.@tedcruz 
.@senatormcdaniel 
.@Nick4House 
.@NickForVA 

ALL are willing to fight fâ€¦",FALSE,0,NA,2018-05-31 20:47:38,FALSE,NA,"1002290528514342913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rog3r478",69,TRUE,FALSE,NA,NA
"105","RT @deeg25: Here's Some TRUE conservatives I love  í ¼í·ºí ¼í·¸

.@tedcruz 
.@senatormcdaniel 
.@Nick4House 
.@NickForVA 

ALL are willing to fight fâ€¦",FALSE,0,NA,2018-05-31 16:40:00,FALSE,NA,"1002228211789549569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RhallMadl",69,TRUE,FALSE,NA,NA
"106","RT @deeg25: Here's Some TRUE conservatives I love  í ¼í·ºí ¼í·¸

.@tedcruz 
.@senatormcdaniel 
.@Nick4House 
.@NickForVA 

ALL are willing to fight fâ€¦",FALSE,0,NA,2018-05-31 16:38:31,FALSE,NA,"1002227836512595968",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","deeg25",69,TRUE,FALSE,NA,NA
"107","RT @deeg25: Here's Some TRUE conservatives I love  í ¼í·ºí ¼í·¸

.@tedcruz 
.@senatormcdaniel 
.@Nick4House 
.@NickForVA 

ALL are willing to fight fâ€¦",FALSE,0,NA,2018-05-31 16:33:40,FALSE,NA,"1002226616309899265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bnjmnwst",69,TRUE,FALSE,NA,NA
"129","RT @deeg25: Here's Some TRUE conservatives I love  í ¼í·ºí ¼í·¸

.@tedcruz 
.@senatormcdaniel 
.@Nick4House 
.@NickForVA 

ALL are willing to fight fâ€¦",FALSE,0,NA,2018-05-31 06:16:33,FALSE,NA,"1002071312158703616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bigmacalaska",69,TRUE,FALSE,NA,NA
"130","RT @deeg25: Here's Some TRUE conservatives I love  í ¼í·ºí ¼í·¸

.@tedcruz 
.@senatormcdaniel 
.@Nick4House 
.@NickForVA 

ALL are willing to fight fâ€¦",FALSE,0,NA,2018-05-31 05:59:27,FALSE,NA,"1002067011277606912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","albertahopkins",69,TRUE,FALSE,NA,NA
"131","RT @deeg25: Here's Some TRUE conservatives I love  í ¼í·ºí ¼í·¸

.@tedcruz 
.@senatormcdaniel 
.@Nick4House 
.@NickForVA 

ALL are willing to fight fâ€¦",FALSE,0,NA,2018-05-31 05:54:46,FALSE,NA,"1002065833147977733",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KeepOnTrumpin1",69,TRUE,FALSE,NA,NA
"132","RT @deeg25: Here's Some TRUE conservatives I love  í ¼í·ºí ¼í·¸

.@tedcruz 
.@senatormcdaniel 
.@Nick4House 
.@NickForVA 

ALL are willing to fight fâ€¦",FALSE,0,NA,2018-05-31 04:19:43,FALSE,NA,"1002041912382181377",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","AlbertaLKomare1",69,TRUE,FALSE,NA,NA
"133","RT @deeg25: Here's Some TRUE conservatives I love  í ¼í·ºí ¼í·¸

.@tedcruz 
.@senatormcdaniel 
.@Nick4House 
.@NickForVA 

ALL are willing to fight fâ€¦",FALSE,0,NA,2018-05-31 03:58:37,FALSE,NA,"1002036602254888960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RebeccaFaussett",69,TRUE,FALSE,NA,NA
"135","RT @deeg25: Here's Some TRUE conservatives I love  í ¼í·ºí ¼í·¸

.@tedcruz 
.@senatormcdaniel 
.@Nick4House 
.@NickForVA 

ALL are willing to fight fâ€¦",FALSE,0,NA,2018-05-31 01:27:37,FALSE,NA,"1001998600451297280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RobbyTheremin",69,TRUE,FALSE,NA,NA
