"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@CoreyStewartVA @realDonaldTrump Did you just have a third grader read you every seventh word of the Cliff Notes on the meeting?",FALSE,0,"CoreyStewartVA",2018-07-14 12:09:01,FALSE,"1017795843120947200","1018105079533096961","259045004","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jasonscotteis",0,FALSE,FALSE,NA,NA
"2","@CoreyStewartVA @realDonaldTrump True, I know you will put Virginia first!",FALSE,0,"CoreyStewartVA",2018-07-14 11:59:24,FALSE,"1017795843120947200","1018102660556259330","259045004","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LarryLegends",0,FALSE,FALSE,NA,NA
"3","@LauraLoomer @ADL_National @CoreyStewartVA Wonder why https://t.co/RePn8R12kg",FALSE,1,"LauraLoomer",2018-07-14 11:55:24,FALSE,"1017921208346710017","1018101654099382272","537709549","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deportjose9990",0,FALSE,FALSE,NA,NA
"4","@PennyDeplorable @MuleskinerBrian @CoreyStewartVA @realDonaldTrump I’ve lived here my whole life (though that doesn… https://t.co/aNR0YA6KQ7",FALSE,0,"PennyDeplorable",2018-07-14 11:49:46,TRUE,"1017244995852685313","1018100236743520256","59338587","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Politicalprozac",0,FALSE,FALSE,NA,NA
"5","@LauraLoomer @CoreyStewartVA @ADL_National @ADL @AnneFrankCenter @UN @jstreetdotorg ARE ANTI AMERICAN JEWS ANTI ZIO… https://t.co/wMhn8XBgX0",FALSE,0,"LauraLoomer",2018-07-14 10:27:08,TRUE,"1017923578564620288","1018079441615052801","537709549","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rbwentert2",0,FALSE,FALSE,NA,NA
"6","RT @LauraLoomer: It is Shabbat, &amp; even during Shabbat, Hamas terrorists in Gaza are firing rockets into Southern Israel. An IDF soldier was…",FALSE,0,NA,2018-07-14 10:22:29,FALSE,NA,"1018078270594486272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marvelousfiasco",113,TRUE,FALSE,NA,NA
"7","RT @LauraLoomer: The ADL is a fake Jewish organization and they don’t care about Jewish people.

They are completely in bed with the enemie…",FALSE,0,NA,2018-07-14 10:21:48,FALSE,NA,"1018078098846199809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marvelousfiasco",94,TRUE,FALSE,NA,NA
"8","RT @LauraLoomer: HOW DARE @ADL_National accuse @CoreyStewartVA of being a white supremacist &amp; Anti-Semite! 

Corey &amp; his wife are beautiful…",FALSE,0,NA,2018-07-14 09:27:53,FALSE,NA,"1018064528695877632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DesdeFlorida",177,TRUE,FALSE,NA,NA
"9","RT @ltucker8044: This is @CoreyStewartVA  he's running for Senate in Virginia. He supports Mr President's agenda. He supports our Constitut…",FALSE,0,NA,2018-07-14 09:11:27,FALSE,NA,"1018060393137229824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RickA85876728",1,TRUE,FALSE,NA,NA
"10","RT @LauraLoomer: HOW DARE @ADL_National accuse @CoreyStewartVA of being a white supremacist &amp; Anti-Semite! 

Corey &amp; his wife are beautiful…",FALSE,0,NA,2018-07-14 09:10:33,FALSE,NA,"1018060167966085120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SueMcCauley17",177,TRUE,FALSE,NA,NA
