"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-14 12:34:35,FALSE,NA,"1018111514446827520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CarrierTo",298,TRUE,FALSE,NA,NA
"2","RT @ChinWusu: Virginia Beach lock up people for no reason other than trying to engage in 1A rights. 
No democracy in Virginia Beach, only a…",FALSE,0,NA,2018-07-14 10:05:23,FALSE,NA,"1018073968375468037",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","danielcoetzee12",1,TRUE,FALSE,NA,NA
"3","Virginia Beach lock up people for no reason other than trying to engage in 1A rights. 
No democracy in Virginia Bea… https://t.co/rTL1PXmv2L",FALSE,0,NA,2018-07-14 08:42:37,TRUE,NA,"1018053138052517888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChinWusu",1,FALSE,FALSE,NA,NA
"4","Cult within a cult. Police Chief for Biscayne Park ( #Miami ) ordered select few to pick up random vagrants &amp; pin h… https://t.co/x63OdDTQ3z",FALSE,0,NA,2018-07-14 05:15:23,TRUE,NA,"1018000986030387200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CarrierTo",0,FALSE,FALSE,NA,NA
"5","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-14 01:06:24,FALSE,NA,"1017938327889170432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Artco77",298,TRUE,FALSE,NA,NA
"6","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-14 00:57:31,FALSE,NA,"1017936092513751040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JuanitaBona",298,TRUE,FALSE,NA,NA
"7","@jfradioshow @newsadvance Pickle? By nominating @CoreyStewartVA, a tiny plurality of the Virginia GOP primary voter… https://t.co/5AqufN2212",FALSE,1,"jfradioshow",2018-07-14 00:55:44,TRUE,"1017735122756493313","1017935644205748224","449850814","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aarongcigars",0,FALSE,FALSE,NA,NA
"8","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-14 00:47:25,FALSE,NA,"1017933550539165697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TrumpWeTrust",298,TRUE,FALSE,NA,NA
"9","RT @GOP4Kaine: Umm, maybe @CoreyStewartVA is not the best person to criticize someone for attending a “rally”.  We all know what kind of ra…",FALSE,0,NA,2018-07-14 00:04:18,FALSE,NA,"1017922700721950720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CarlosV64910815",1,TRUE,FALSE,NA,NA
"10","Umm, maybe @CoreyStewartVA is not the best person to criticize someone for attending a “rally”.  We all know what k… https://t.co/Rdi0Qeuacf",FALSE,4,NA,2018-07-13 23:58:41,TRUE,NA,"1017921287937773568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GOP4Kaine",1,FALSE,FALSE,NA,NA
"11","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-13 21:25:52,FALSE,NA,"1017882828074254336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","xmasisgreat",298,TRUE,FALSE,NA,NA
"12","RT @RollinReisinger: Just a reminder: the @CoreyStewartVA #VASen campaign believes this nonsense. https://t.co/O8uu6E9kvp",FALSE,0,NA,2018-07-13 21:15:01,FALSE,NA,"1017880100120023040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","notlarrysabato",1,TRUE,FALSE,NA,NA
"13","Just a reminder: the @CoreyStewartVA #VASen campaign believes this nonsense. https://t.co/O8uu6E9kvp",FALSE,0,NA,2018-07-13 21:14:37,FALSE,NA,"1017879998747815942",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RollinReisinger",1,FALSE,FALSE,NA,NA
"14","""Accuse others of what you do.” ~ Karl Marx
That's what @theDemocrats do. @HillaryClinton @timkaine @GerryConnolly #VASen #VA11",FALSE,0,NA,2018-07-13 20:27:16,FALSE,NA,"1017868080020639747",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","freegalt",0,FALSE,FALSE,NA,NA
"15","RT @GOP4Kaine: @CoreyStewartVA @realDonaldTrump What you know about foreign policy &amp; diplomacy could fit on the back of a postage stamp. #V…",FALSE,0,NA,2018-07-13 20:17:59,FALSE,NA,"1017865745257193472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dcaflight757",1,TRUE,FALSE,NA,NA
"16","@CoreyStewartVA @realDonaldTrump What you know about foreign policy &amp; diplomacy could fit on the back of a postage stamp. #VaPol #VaSen",FALSE,4,"CoreyStewartVA",2018-07-13 20:17:32,FALSE,"1017795843120947200","1017865632384212992","259045004","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GOP4Kaine",1,FALSE,FALSE,NA,NA
"17","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-13 20:08:33,FALSE,NA,"1017863371402760192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jfpopek3",298,TRUE,FALSE,NA,NA
"18","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-13 19:43:21,FALSE,NA,"1017857029304614912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Truthful_Wolf",298,TRUE,FALSE,NA,NA
"19","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-13 19:41:37,FALSE,NA,"1017856593516474374",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","winegirl73",298,TRUE,FALSE,NA,NA
"20","RT @SiriusXMPatriot: Fresh off his victory in the Republican #VASen Primary .@CoreyStewartVA says the #Democrats and @timkaine have betraye…",FALSE,0,NA,2018-07-13 19:31:52,FALSE,NA,"1017854141622833158",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RealLHunterJ",101,TRUE,FALSE,NA,NA
"21","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-13 19:13:47,FALSE,NA,"1017849590844936192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HAMnEGG_WILLIE",298,TRUE,FALSE,NA,NA
"22","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-13 17:23:29,FALSE,NA,"1017821830198022144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NurseMalinda",298,TRUE,FALSE,NA,NA
